region,ym,confirmed,deaths,raw_deaths,days,dim,month,lat,south,season,epoch,pop,deaths_pm,cases_pm,cfr,temp_c,amplitude,lag
Alabama,2020-02-01,0.0,0.0,0.0,29,29,2,33.06935820714117,False,cold,E2019,4903185,0.0,0.0,,9.986206896551725,20.993548387096773,21
Alabama,2020-03-01,1063.0,183.0,23.0,31,31,3,33.06935820714117,False,cold,E2019,4903185,37.32267903413801,216.797856903217,0.17215428033866415,16.69677419354839,20.993548387096773,21
Alabama,2020-04-01,6124.0,346.0,249.0,30,30,4,33.06935820714117,False,transition,E2019,4903185,70.56637675306969,1248.9840787161813,0.05649902024820379,16.096666666666668,20.993548387096773,21
Alabama,2020-05-01,11013.0,310.0,358.0,31,31,5,33.06935820714117,False,warm,E2019,4903185,63.22421038569828,2246.091061218371,0.028148551711613547,20.4,20.993548387096773,21
Alabama,2020-06-01,20277.0,464.0,320.0,30,30,6,33.06935820714117,False,warm,E2019,4903185,94.6323665127871,4135.475206421948,0.022883069487596785,24.65666666666667,20.993548387096773,21
Alabama,2020-07-01,49789.0,693.0,630.0,31,31,7,33.06935820714117,False,warm,E2019,4903185,141.3367025718997,10154.420035140423,0.013918737070437245,26.83225806451613,20.993548387096773,21
Alabama,2020-08-01,38234.0,443.0,602.0,31,31,8,33.06935820714117,False,warm,E2019,4903185,90.34943613182044,7797.788580279961,0.011586546006172517,26.33225806451613,20.993548387096773,21
Alabama,2020-09-01,28272.0,389.0,358.0,30,30,9,33.06935820714117,False,warm,E2020,4903185,79.33618658076333,5766.0479871756825,0.013759196378041879,23.21333333333333,20.993548387096773,21
Alabama,2020-10-01,38841.0,629.0,427.0,31,31,10,33.06935820714117,False,transition,E2020,4903185,128.2839623632394,7921.585663196473,0.016194227749028088,19.05483870967742,20.993548387096773,21
Alabama,2020-11-01,55911.0,932.0,611.0,30,30,11,33.06935820714117,False,cold,E2020,4903185,190.08052928861545,11402.996215725085,0.016669349501886928,14.270000000000001,20.993548387096773,21
Alabama,2020-12-01,111702.0,1990.0,1249.0,31,31,12,33.06935820714117,False,cold,E2020,4903185,405.85864086303087,22781.51854355893,0.017815258455533473,7.380645161290323,20.993548387096773,21
Alabama,2021-01-01,98413.0,3213.0,2861.0,31,31,1,33.06935820714117,False,cold,E2020,4903185,655.2883482878985,20071.239408670077,0.032648125755743655,7.583870967741936,20.993548387096773,21
Alabama,2021-02-01,33613.0,844.0,2241.0,28,28,2,33.06935820714117,False,cold,E2020,4903185,172.13301150170756,6855.339947401536,0.025109332698658258,7.814285714285715,20.993548387096773,21
Alabama,2021-03-01,22136.0,371.0,624.0,31,31,3,33.06935820714117,False,cold,E2020,4903185,75.66510339707762,4514.616519670378,0.016760028912179255,14.693548387096774,20.993548387096773,21
